date,active_symbols,covered_symbols,missing_symbols,coverage_ratio
2016-10-13,506,77,429,0.15217391304347827
2016-10-14,506,77,429,0.15217391304347827
2016-10-17,506,77,429,0.15217391304347827
2016-10-18,506,77,429,0.15217391304347827
2016-10-19,506,77,429,0.15217391304347827
2016-10-20,506,77,429,0.15217391304347827
2016-10-21,506,77,429,0.15217391304347827
2016-10-24,506,77,429,0.15217391304347827
2016-10-25,506,77,429,0.15217391304347827
2016-10-26,506,77,429,0.15217391304347827
2016-10-27,506,77,429,0.15217391304347827
2016-10-28,506,77,429,0.15217391304347827
2016-10-31,506,77,429,0.15217391304347827
2016-11-01,506,77,429,0.15217391304347827
2016-11-02,506,77,429,0.15217391304347827
2016-11-03,506,77,429,0.15217391304347827
2016-11-04,506,77,429,0.15217391304347827
2016-11-07,506,77,429,0.15217391304347827
2016-11-08,506,77,429,0.15217391304347827
2016-11-09,506,77,429,0.15217391304347827
2016-11-10,506,77,429,0.15217391304347827
2016-11-11,506,77,429,0.15217391304347827
2016-11-14,506,77,429,0.15217391304347827
2016-11-15,506,77,429,0.15217391304347827
2016-11-16,506,77,429,0.15217391304347827
2016-11-17,506,77,429,0.15217391304347827
2016-11-18,506,77,429,0.15217391304347827
2016-11-21,506,77,429,0.15217391304347827
2016-11-22,506,77,429,0.15217391304347827
2016-11-23,506,77,429,0.15217391304347827
2016-11-25,506,77,429,0.15217391304347827
2016-11-28,506,77,429,0.15217391304347827
2016-11-29,506,77,429,0.15217391304347827
2016-11-30,506,77,429,0.15217391304347827
2016-12-01,506,77,429,0.15217391304347827
2016-12-02,508,77,431,0.1515748031496063
2016-12-05,506,77,429,0.15217391304347827
2016-12-06,506,77,429,0.15217391304347827
2016-12-07,506,77,429,0.15217391304347827
2016-12-08,506,77,429,0.15217391304347827
2016-12-09,506,77,429,0.15217391304347827
2016-12-12,506,77,429,0.15217391304347827
2016-12-13,506,77,429,0.15217391304347827
2016-12-14,506,77,429,0.15217391304347827
2016-12-15,506,77,429,0.15217391304347827
2016-12-16,506,77,429,0.15217391304347827
2016-12-19,506,77,429,0.15217391304347827
2016-12-20,506,77,429,0.15217391304347827
2016-12-21,506,77,429,0.15217391304347827
2016-12-22,506,77,429,0.15217391304347827
2016-12-23,506,77,429,0.15217391304347827
2016-12-27,506,77,429,0.15217391304347827
2016-12-28,506,77,429,0.15217391304347827
2016-12-29,506,77,429,0.15217391304347827
2016-12-30,506,77,429,0.15217391304347827
2017-01-03,506,77,429,0.15217391304347827
2017-01-04,506,77,429,0.15217391304347827
2017-01-05,507,77,430,0.15187376725838264
2017-01-06,506,77,429,0.15217391304347827
2017-01-09,506,77,429,0.15217391304347827
2017-01-10,506,77,429,0.15217391304347827
2017-01-11,506,77,429,0.15217391304347827
2017-01-12,506,77,429,0.15217391304347827
2017-01-13,506,77,429,0.15217391304347827
2017-01-17,506,77,429,0.15217391304347827
2017-01-18,506,77,429,0.15217391304347827
2017-01-19,506,77,429,0.15217391304347827
2017-01-20,506,77,429,0.15217391304347827
2017-01-23,506,77,429,0.15217391304347827
2017-01-24,506,77,429,0.15217391304347827
2017-01-25,506,77,429,0.15217391304347827
2017-01-26,506,77,429,0.15217391304347827
2017-01-27,506,77,429,0.15217391304347827
2017-01-30,506,77,429,0.15217391304347827
2017-01-31,506,77,429,0.15217391304347827
2017-02-01,506,77,429,0.15217391304347827
2017-02-02,506,77,429,0.15217391304347827
2017-02-03,506,77,429,0.15217391304347827
2017-02-06,506,77,429,0.15217391304347827
2017-02-07,506,77,429,0.15217391304347827
2017-02-08,506,77,429,0.15217391304347827
2017-02-09,506,77,429,0.15217391304347827
2017-02-10,506,77,429,0.15217391304347827
2017-02-13,506,77,429,0.15217391304347827
2017-02-14,506,77,429,0.15217391304347827
2017-02-15,506,77,429,0.15217391304347827
2017-02-16,506,77,429,0.15217391304347827
2017-02-17,506,77,429,0.15217391304347827
2017-02-21,506,77,429,0.15217391304347827
